# County,cqr_census_2010_count,jan1_2020_pop_est
Anderson,58458,59120
Andrews,14786,19588
Angelina,86771,90669
Aransas,23158,23649
Archer,9054,9135
Armstrong,1901,2028
Atascosa,44911,51233
Austin,28417,32344
Bailey,7165,7082
Bandera,20485,23360
Bastrop,74171,90262
Baylor,3726,3754
Bee,31861,33571
Bell,310235,362093
Bexar,1714773,2006193
Blanco,10497,12365
Borden,641,686
Bosque,18212,19146
Bowie,92565,95897
Brazoria,313166,382874
Brazos,194851,233071
Brewster,9232,9055
Briscoe,1637,1599
Brooks,7223,7060
Brown,38106,38874
Burleson,17187,18361
Burnet,42750,49225
Caldwell,38066,43501
Calhoun,21381,22058
Callahan,13544,14027
Cameron,406220,426144
Camp,12401,12936
Carson,6182,5875
Cass,30464,30243
Castro,8062,7260
Chambers,35096,44944
Cherokee,50845,53558
Childress,7041,7052
Clay,10752,10317
Cochran,3127,2890
Coke,3320,3400
Coleman,8895,8041
Collin,782341,1047901
Collingsworth,3057,2802
Colorado,20874,22566
Comal,108472,161328
Comanche,13974,13848
Concho,4087,2715
Cooke,38437,40685
Coryell,75388,75657
Cottle,1505,1346
Crane,4375,4670
Crockett,3719,3465
Crosby,6059,5658
Culberson,2398,2228
Dallam,6703,6929
Dallas,2368139,2647627
Dawson,13833,12652
Deaf Smith,19372,19572
Delta,5231,5304
Denton,662614,904005
De Witt,20097,20459
Dickens,2444,2054
Dimmit,9996,9426
Donley,3677,3170
Duval,11782,10860
Eastland,18583,18278
Ector,137130,169394
Edwards,2002,1979
Ellis,149610,191469
El Paso,800647,851888
Erath,37890,43110
Falls,17866,17432
Fannin,33915,36727
Fayette,24554,26522
Fisher,3974,3897
Floyd,6446,5445
Foard,1336,1102
Fort Bend,585375,818912
Franklin,10605,10792
Freestone,19816,20732
Frio,17217,18937
Gaines,17526,21258
Galveston,291309,341146
Garza,6461,5978
Gillespie,24837,27617
Glasscock,1226,1363
Goliad,7210,8127
Gonzales,19807,20819
Gray,22535,21900
Grayson,120877,136052
Gregg,121730,126225
Grimes,26604,29730
Guadalupe,131533,169139
Hale,36273,32864
Hall,3353,2969
Hamilton,8517,8637
Hansford,5613,5288
Hardeman,4139,3873
Hardin,54635,59592
Harris,4092459,4703708
Harrison,65631,68703
Hartley,6062,5887
Haskell,5899,5572
Hays,157107,232080
Hemphill,3807,3827
Henderson,78532,83220
Hidalgo,774773,888958
Hill,35089,37470
Hockley,22935,22603
Hood,51182,61387
Hopkins,35161,37475
Houston,23732,23439
Howard,35012,36421
Hudspeth,3476,3683
Hunt,86129,98685
Hutchinson,22150,20439
Irion,1599,1584
Jack,9044,9305
Jackson,14075,14256
Jasper,35710,35353
Jeff Davis,2342,2408
Jefferson,252273,250803
Jim Hogg,5300,5079
Jim Wells,40838,39759
Johnson,150934,175987
Jones,20202,19745
Karnes,14824,15778
Kaufman,103350,140667
Kendall,33410,47700
Kenedy,416,378
Kent,808,754
Kerr,49625,53024
Kimble,4607,4581
King,286,275
Kinney,3598,3594
Kleberg,32061,32158
Knox,3719,3796
Lamar,49793,50436
Lamb,13977,12412
Lampasas,19677,21395
La Salle,6886,7391
Lavaca,19263,20511
Lee,16612,17432
Leon,16801,17649
Liberty,75643,93496
Limestone,23384,23654
Lipscomb,3302,3153
Live Oak,11531,12208
Llano,19301,21890
Loving,82,96
Lubbock,278831,309880
Lynn,5915,6243
McCulloch,8283,8313
McLennan,234906,255372
McMullen,707,748
Madison,13664,14088
Marion,10546,9662
Martin,4799,5739
Mason,4012,4318
Matagorda,36702,36158
Maverick,54258,58116
Medina,46006,54612
Menard,2242,2124
Midland,136872,179232
Milam,24757,25157
Mills,4936,4875
Mitchell,9403,8685
Montague,19719,19712
Montgomery,455746,609172
Moore,21904,20902
Morris,12934,12468
Motley,1210,1196
Nacogdoches,64524,64850
Navarro,47735,52973
Newton,14445,13103
Nolan,15216,14150
Nueces,340223,363776
Ochiltree,10223,10246
Oldham,2052,2131
Orange,81837,82168
Palo Pinto,28111,29069
Panola,23796,24611
